image_id,image_url,image_width,image_height,object_id,object_name,x,y,w,h
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,1058498,clock,421,91,79,339
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,5046,street,77,328,714,262
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,5045,shade,119,338,274,192
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,1058529,man,238,249,60,262
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,5048,sneakers,243,489,52,26
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,5050,headlight,514,366,23,15
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,5049,car,479,315,74,98
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,5051,bike,318,319,28,34
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,1058535,bike,334,319,29,35
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,1058507,sign,118,13,88,182
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,1058508,building,1,2,218,536
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,5055,tree trunk,622,234,87,327
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,1058534,sidewalk,77,331,722,266
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,1058511,shirt,241,289,59,101
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,1058539,street,358,283,440,233
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,1058515,car,708,342,91,174
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,5060,back,721,339,67,170
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,1058518,glasses,271,268,20,12
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,1058519,parking meter,574,327,32,143
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,1058525,shoes,391,481,46,34
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,1058532,man,372,264,75,251
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,1058528,pants,245,384,38,118
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,1058530,jacket,356,296,89,97
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,1058531,pants,382,369,54,128
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,1058536,work truck,521,271,265,185
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,3798575,sidewalk,343,318,50,189
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,1058541,chin,399,288,11,9
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,1058540,guy,369,264,82,250
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,1058542,van,529,298,233,134
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,1058543,wall,0,1,134,533
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,1058545,tree,249,0,176,360
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,1058544,bikes,321,319,40,35
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,1058546,arm,368,283,32,43
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,1058547,shirt,384,306,37,66
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,3798576,man,362,264,97,248
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,3798577,man,230,251,72,264
1,https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,800,600,3798578,road,435,295,340,218
